X,Y,OBJECTID,ParkName,PostKatrinaRehab,ActivePassive,AllPurposeField,AllPurposeFieldRating,BatingCages,BatingCagesRating,Benches,BenchesRating,Bleachers,BleachersRating,BoosterClub,BoosterClubRating,ClubHouse,ClubHouseRating,ConcessionBuilding,ConcessionBuildingRating,DanceStudio,DanceStudioRating,Dugouts,DugoutsRating,FacilityLighting,FacilityLightingRating,Fencing,FencingRating,IndoorBasketball,IndoorBasketballRating,IndoorPool,IndoorPoolRating,OffstreetParking,OffstreetParkingRating,OutdoorBasketball,OutdoorBasketballRating,OutdoorSwimming,OutdoorSwimmingRating,OutdoorCoveredBasketball,OutdoorCoveredBasketballRating,PlaygroundEquipment,PlaygroundEquipmentRating,Portolets,PortoletsRating,RecreationCenter,RecreationCenterRating,RestroomBuilding,RestroomBuildingRating,Showers,ShowersRating,SoccerStadium,SoccerStadiumRating,Stadium,StadiumRating,Stage,StageRating,TennisBuilding,TennisBuildingRating,TennisCourts,TennisCourtsRating,TrackField,TrackFieldRating,VolleyballCourtStandards,VolleyballCourtStandardsRating,WaterFoutains,WaterFountainsRating,GraffitiTrash,WheelchairStroller,ItemsToBeAdded,Notes
3686241.71704672,539529.320663393,1,St. Roch Park,Yes,Active,Yes,0,Yes,0,Yes,0,Yes,0,No,,No,,No,,No,,Yes,0,Yes,0,Yes,0,No,,No,,No,,Yes,0,No,,No,,Yes,1,No,,No,,Yes,0,No,,No,,No,,No,,No,,No,,No,,No,,Yes,0,Minimal,Average,More water fountains.,Bathroom locked. Exercise equipment in good condition.
3691161.55267946,538730.666420817,2,,Unknown,Active,No,,No,,Yes,0,Yes,0,No,,No,,No,,No,,Yes,0,Yes,0,Yes,1,No,,No,,No,,Yes,0,No,,No,,Yes,0,No,,Yes,0,Yes,2,No,,No,,No,,No,,No,,No,,No,,No,,Yes,1,Minimal,Average,"More water fountains, ladies restroom, wheelchair paved access from Gallier st by rest rooms","Fence in mostly good condition, could use updating in a few spots"
3687723.39420147,542147.98570165,3,McCue playground,Unknown,Active,Yes,0,No,,Yes,0,No,,No,,No,,No,,No,,Yes,0,Yes,0,Yes,0,No,,No,,No,,Yes,1,No,,No,,Yes,1,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Minimal,Poor,"Water fountain, bayhroom, bike lock up,","Playground and sign have graffiti no water fountain, basketball courts need new paint"
3686681.63841097,525827.463880807,4,McDonough Playground,Unknown,Active,Yes,0,No,,Yes,0,Yes,0,,,,,,,No,,,,Yes,,Yes,0,,,No,,No,,,1,No,,Yes,1,Yes,0,No,,No,,Yes,0,No,,No,,No,,No,,No,,No,,No,,No,,Yes,0,Clear,Good,,
3693463.73541105,526674.291583478,5,Behrman Park,Unknown,Active,Yes,0,No,,Yes,,Yes,0,,,Yes,,,,No,,No,,Yes,,No,,No,,No,,Yes,0,No,,Yes,0,No,,Yes,0,No,,,,Yes,0,,,,,Yes,0,No,,No,,Yes,2,Yes,0,No,,Yes,0,Clear,Average,,Tennis court has 2/3 nets
3703814.35709822,518932.155821055,6,Norman Playground,No,Active,Yes,0,No,,Yes,0,Yes,0,Yes,,No,,No,,No,,No,,Yes,,Yes,,No,,No,,No,,No,,No,,Yes,0,Yes,1,No,,No,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Clear,Poor,,"Two buildings: one restroom, other booster(?)"
3708894.1799438,520454.722657815,7,Cut-Off Rec Center,Unknown,Active,Yes,0,No,,No,,Yes,0,No,,,,No,,Yes,0,Yes,0,Yes,,Yes,0,Yes,0,No,,Yes,0,No,,No,,No,,Yes,0,No,,Yes,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,,Clear,Average,,
3694482.71729697,520000.692069814,8,Bodenger Playground,Unknown,Active,Yes,0,No,,Yes,0,Yes,,No,,No,,Yes,,No,,No,,Yes,,Yes,0,No,,No,,Yes,0,No,,No,,No,,Yes,0,No,,No,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,2,Minimal,Average,,Volleyball net set up in field
3712569.36058556,559105.541681483,9,Joe w Brown memorial park,Yes,Active,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,No,,Yes,0,Yes,0,Yes,1,Yes,0,Yes,0,Yes,0,No,,No,,No,,Yes,0,Yes,1,Yes,0,Yes,0,,,Yes,2,Yes,0,No,,Yes,0,Yes,0,Yes,0,No,,Yes,2,Minimal,Good,Did not see outdoor basketball or volleyball,"Overall well kept park. Basketball and pool buildings were closed. Picnic area bathrooms could be cleaned. Trash was minimal but collected in the water. Could not drive through park because bridge was closed indefinitely due to structural problems. Soccer field needs new goal nets. Fencing along Dwyer needs replacing, fencing in park is good"
3704036.09615605,562178.480417475,10,GORETTI PLAYGROUND,Unknown,Active,Yes,0,Yes,2,Yes,2,Yes,3,No,,No,,Yes,0,No,,Yes,2,Yes,0,Yes,2,No,,No,,No,,Yes,1,No,,No,,No,,No,,No,,Yes,0,No,,No,,No,,No,,No,,No,,No,,No,,Yes,0,Clear,Poor,"new dug outs and batting cage, fix problems with fencing","Concession/Bathroom Building in good shape, basketball court needs lines repainted. Bleachers dented and broken in areas, fencing rusted and broken in spots, batting cages have several structural issues, dug outs have broken benches"
3698447.24939413,536098.940385059,11,Andrew P Sanchez multi service center,Yes,Active,No,,No,,No,,No,,No,,No,,No,,Yes,0,No,,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,No,,No,,No,,No,,No,,Yes,0,Yes,0,Yes,0,No,,No,,No,,No,,No,,No,,Yes,0,Yes,0,Clear,Good,,"New establishment, spoke to MOD who said they are not needing improvements. Pool closed but looked good through window"
3696581.48311256,534648.127341807,12,Sam Bonart,Unknown,Active,Yes,0,No,,Yes,0,Yes,0,No,,No,,Yes,0,No,,Yes,0,Yes,0,Yes,0,No,,No,,No,,Yes,0,Yes,0,Yes,0,Yes,0,No,,No,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,1,Minimal,Average,,"Pool closed, no bathrooms unless in pool house, old hornets logo, graffiti on playground sign"
3692819.87219746,534691.731913388,13,Stallings st claude,Yes,Active,Yes,0,No,,No,,No,,No,,No,,No,,Yes,0,No,,Yes,0,Yes,0,Yes,0,No,,Yes,0,Yes,0,Yes,0,No,,No,,No,,Yes,0,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,0,Clear,Good,"Lighting on outdoor field, public access outdoor water fountain (not in pool area)","Structures new and in good condition, interior well maintained"
3678426.80026188,520231.248367235,14,Burke Playground,Unknown,Active,Yes,0,No,,Yes,0,No,,No,,No,,,,No,,No,,Yes,,Yes,0,No,,No,,Yes,,Yes,0,No,,No,,Yes,0,No,,No,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,0,Minimal,Good,,"Several picnic tables; four basketball goals; two small locked buildings"
3671874.43180497,535538.585862726,15,Cormiskey park,Yes,Active,Yes,0,Yes,0,Yes,0,Yes,0,No,,No,,No,,No,,No,,Yes,0,Yes,0,No,,No,,No,,No,,No,,Yes,1,Yes,0,No,,No,,Yes,1,No,,No,,No,,No,,No,,No,,No,,No,,Yes,1,Minimal,,More/new water fountain bike rack,"Basketball net needs replacing, backboard need to be cleaned. Restroom building locked, exterior needs new paint"
3675556.80140872,518186.290186808,16,Lyons Rec Center and Pool,Unknown,Active,Yes,0,No,,Yes,0,Yes,0,Yes,,No,,Yes,0,Yes,0,No,,Yes,,Yes,0,Yes,0,No,,No,,No,,Yes,0,No,,Yes,0,No,,Yes,0,Yes,0,Yes,0,No,,No,,Yes,0,No,,No,,No,,Yes,0,Yes,0,Clear,Good,,"Small all-purpose field attached to baseball field; showers at pool, not in locker room"
3661970.23507796,520176.999459982,17,Whitney Young Pool,Unknown,Active,No,,No,,No,,No,,No,,No,,,,No,,No,,Yes,0,Yes,0,No,,No,,Yes,,No,,Yes,0,No,,No,,No,,No,,Yes,,Yes,,No,,No,,No,,No,,No,,No,,No,,Yes,,Clear,Average,,No access- locked
3682268.0954008,538053.812459558,18,Hunters field,Unknown,Active,Yes,2,No,,Yes,1,Yes,2,No,,No,,Yes,1,No,,No,,Yes,2,Yes,2,No,,No,,Yes,2,Yes,2,No,,No,,Yes,2,,,No,,No,,No,,No,,No,,Yes,2,No,,No,,No,,No,,No,,Extensive,Poor,"More visible parking, better fence, water fountain/bathroom, fix basketball hoops","Fence is poor and only on one side of park, excessive graffiti and litter, no restrooms or water fountain, boarded up concession area, lighting appears to be damaged, baseball cage in need of repairs, bleachers in poor location to baseball set up no park sign"
